"X","Y"
2.8,2.8
4.4,2.8
6,2.8
7.6,2.8
9.2,2.8
10.8,2.8
12.4,2.8
14,2.8
15.6,2.8
17.2,2.8
18.8,2.8
20.4,2.8
2.8,4.4
4.4,4.4
6,4.4
7.6,4.4
9.2,4.4
10.8,4.4
12.4,4.4
14,4.4
15.6,4.4
17.2,4.4
18.8,4.4
20.4,4.4
2.8,6
4.4,6
6,6
7.6,6
9.2,6
10.8,6
12.4,6
14,6
15.6,6
17.2,6
18.8,6
20.4,6
2.8,7.6
4.4,7.6
6,7.6
7.6,7.6
9.2,7.6
10.8,7.6
12.4,7.6
14,7.6
15.6,7.6
17.2,7.6
18.8,7.6
20.4,7.6
2.8,9.2
4.4,9.2
6,9.2
7.6,9.2
9.2,9.2
10.8,9.2
12.4,9.2
14,9.2
15.6,9.2
17.2,9.2
18.8,9.2
20.4,9.2
2.8,10.8
4.4,10.8
6,10.8
7.6,10.8
9.2,10.8
10.8,10.8
12.4,10.8
14,10.8
15.6,10.8
17.2,10.8
18.8,10.8
20.4,10.8
2.8,12.4
4.4,12.4
6,12.4
7.6,12.4
9.2,12.4
10.8,12.4
12.4,12.4
14,12.4
15.6,12.4
17.2,12.4
18.8,12.4
20.4,12.4
2.8,14
4.4,14
6,14
7.6,14
9.2,14
10.8,14
12.4,14
14,14
15.6,14
17.2,14
18.8,14
20.4,14
2.8,15.6
4.4,15.6
6,15.6
7.6,15.6
9.2,15.6
10.8,15.6
12.4,15.6
14,15.6
15.6,15.6
17.2,15.6
18.8,15.6
20.4,15.6
2.8,17.2
4.4,17.2
6,17.2
7.6,17.2
9.2,17.2
10.8,17.2
12.4,17.2
14,17.2
15.6,17.2
17.2,17.2
18.8,17.2
20.4,17.2
2.8,18.8
4.4,18.8
6,18.8
7.6,18.8
9.2,18.8
10.8,18.8
12.4,18.8
14,18.8
15.6,18.8
17.2,18.8
18.8,18.8
20.4,18.8
2.8,20.4
4.4,20.4
6,20.4
7.6,20.4
9.2,20.4
10.8,20.4
12.4,20.4
14,20.4
15.6,20.4
17.2,20.4
18.8,20.4
20.4,20.4
